age,player_height,player_weight,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,DR&DN
22,193.04,94.800728,2,42,64,3.9,1.5,2.4,0.3,0.042,0.071,0.16899999999999998,0.48700000000000004,0.248,72
28,190.5,86.18248,2,34,4,3.8,1.3,0.3,8.9,0.03,0.111,0.174,0.49700000000000005,0.043,64
26,203.2,103.418976,1,12,41,8.3,6.4,1.9,-8.2,0.106,0.185,0.175,0.512,0.125,12
30,203.2,102.0582,1,7,64,10.2,2.8,1.7,-2.7,0.027000000000000003,0.111,0.20600000000000002,0.527,0.125,7
23,213.36,119.74828799999999,1,22,52,2.8,1.7,0.3,-14.1,0.102,0.16899999999999998,0.195,0.5,0.064,22
33,198.12,102.0582,2,47,80,10.6,2.2,2.2,-5.8,0.031,0.064,0.203,0.503,0.14300000000000002,77
26,231.14,137.438376,2,30,73,10.6,6.6,0.4,6.9,0.098,0.217,0.185,0.618,0.024,60
30,203.2,99.79024,1,4,79,26.8,4,2,3.2,0.025,0.087,0.272,0.605,0.088,4
24,200.66,106.59411999999999,1,1,80,21.1,6.3,3.1,-2.9,0.051,0.14400000000000002,0.278,0.528,0.146,1
24,203.2,102.0582,1,3,80,21.4,9,7.3,6.9,0.049,0.23199999999999998,0.28300000000000003,0.556,0.35600000000000004,3
22,203.2,113.398,1,11,82,10.8,5.2,1.1,2.5,0.10099999999999999,0.16699999999999998,0.212,0.569,0.077,11
31,205.74,112.490816,2,33,65,5,3.4,0.6,4,0.096,0.15,0.154,0.523,0.057999999999999996,63
29,185.42,81.64656,1,12,65,9.5,2.8,6.3,-9.4,0.015,0.099,0.177,0.526,0.358,12
33,215.9,120.20188,2,26,40,2,1.9,0.3,-8,0.059000000000000004,0.192,0.114,0.466,0.048,56
28,210.82,113.398,2,35,79,3.5,2.4,0.4,-0.9,0.078,0.166,0.168,0.508,0.055,65
26,193.04,82.553744,1,17,28,3.3,0.5,0.4,3.6,0.013000000000000001,0.063,0.245,0.47600000000000003,0.1,17
25,198.12,95.25432,1,25,23,9.6,3.5,1.5,-2.1,0.057999999999999996,0.11,0.18899999999999997,0.519,0.10300000000000001,25
24,218.44,127.00576000000001,1,28,77,7.3,7.3,0.4,15.9,0.133,0.24600000000000002,0.146,0.561,0.021,28
34,213.36,115.66596000000001,1,1,78,23.2,9.2,3,6.5,0.075,0.20600000000000002,0.308,0.5579999999999999,0.158,1
31,205.74,102.0582,1,12,78,4.1,3.3,0.9,1.7,0.045,0.136,0.102,0.47700000000000004,0.059000000000000004,12
31,187.96,81.64656,2,49,4,5.5,1.8,2.8,-7.3,0.055999999999999994,0.045,0.139,0.5379999999999999,0.23399999999999999,79
33,208.28,113.398,1,23,82,3.9,5.5,0.4,-14.2,0.109,0.21899999999999997,0.106,0.531,0.033,23
28,193.04,86.18248,1,2,82,21.8,4.6,7.1,10.3,0.04,0.102,0.264,0.545,0.33,2
32,190.5,83.91452,1,15,28,3.9,1.4,1.6,3.2,0.028999999999999998,0.105,0.19399999999999998,0.46,0.215,15
36,208.28,98.88305600000001,2,27,12,1.8,0.8,0,-13.1,0.053,0.17800000000000002,0.265,0.52,0,57
29,193.04,86.18248,Undrafted,Undrafted,71,5.7,1.6,1.3,-0.3,0.036000000000000004,0.076,0.172,0.539,0.141,Undrafted
28,182.88,72.57472,2,37,82,6.9,1.5,3,-1.2,0.018000000000000002,0.081,0.177,0.557,0.262,67
27,182.88,77.11064,2,38,9,2.4,0.4,1.2,-7.4,0,0.053,0.187,0.47,0.21600000000000003,68
27,213.36,122.46983999999999,1,25,1,0,0,0,-147.5,0,0,0.126,0,0,25
28,195.58,87.996848,Undrafted,Undrafted,13,5,1.7,2,6.6,0.011000000000000001,0.098,0.14400000000000002,0.565,0.191,Undrafted
34,190.5,80.28578399999998,1,13,3,1.3,1,1,-57.4,0,0.15,0.115,0.5,0.375,13
31,210.82,120.20188,1,17,20,1.7,1.8,0.3,-3.9,0.044000000000000004,0.258,0.175,0.444,0.067,17
27,210.82,106.59411999999999,1,18,28,2.6,2.1,0.5,-15.4,0.106,0.102,0.158,0.47200000000000003,0.076,18
25,213.36,122.46983999999999,1,9,78,4.4,6.6,0.8,-6.6,0.107,0.20600000000000002,0.11199999999999999,0.452,0.05,9
29,185.42,86.18248,1,21,12,3.8,0.9,2,-1.4,0.01,0.102,0.188,0.588,0.436,21
26,200.66,97.52228000000001,1,15,65,6,1.6,0.8,2.4,0.071,0.088,0.22,0.579,0.111,15
24,190.5,90.7184,2,43,67,3,1,2.4,-1.2,0.027000000000000003,0.085,0.145,0.515,0.33899999999999997,73
24,203.2,99.79024,1,14,72,15,4.6,1.8,-6.8,0.057,0.107,0.207,0.5329999999999999,0.087,14
21,210.82,120.20188,1,10,72,5.1,4.1,0.6,-2,0.107,0.21600000000000003,0.218,0.451,0.074,10
23,190.5,95.25432,Undrafted,Undrafted,28,10.6,3.2,2.4,-6.4,0.032,0.11199999999999999,0.21600000000000003,0.51,0.161,Undrafted
29,210.82,111.13004,1,23,82,7.1,11.1,0.9,-5.9,0.10300000000000001,0.294,0.114,0.5429999999999999,0.042,23
27,200.66,106.59411999999999,Undrafted,Undrafted,5,2.6,0.6,0.4,17.5,0.026000000000000002,0.049,0.192,0.38799999999999996,0.065,Undrafted
29,213.36,127.00576000000001,1,6,73,5.1,5.7,0.3,-1.2,0.124,0.205,0.128,0.524,0.02,6
37,205.74,108.86208,3,57,17,4.8,2,0.9,-22.4,0.026000000000000002,0.133,0.17300000000000001,0.512,0.11599999999999999,177
25,185.42,83.91452,2,37,7,2.9,2,0.7,1.4,0.065,0.156,0.13,0.521,0.106,67
24,193.04,92.079176,2,52,47,4.8,1.7,0.9,4.9,0.027999999999999997,0.146,0.172,0.59,0.122,82
31,203.2,99.79024,Undrafted,Undrafted,53,6.7,1.5,0.4,1.2,0.034,0.067,0.171,0.555,0.036000000000000004,Undrafted
28,213.36,113.398,1,27,77,14.9,8,1.6,3.3,0.095,0.183,0.222,0.52,0.087,27
39,210.82,117.93392,1,14,21,1.9,1.5,0.2,-10.8,0.055999999999999994,0.141,0.132,0.408,0.045,14
31,208.28,111.13004,1,10,67,12.6,9,2.4,1.1,0.094,0.19,0.161,0.546,0.11199999999999999,10
24,205.74,93.439952,1,26,33,1.5,1.5,0.2,3,0.14400000000000002,0.182,0.18100000000000002,0.419,0.071,26
22,198.12,98.88305600000001,1,3,81,20.7,4.2,3.1,-6.8,0.053,0.063,0.254,0.524,0.134,3
26,198.12,97.52228000000001,1,4,77,15.9,5.3,4.1,-8.4,0.051,0.113,0.214,0.526,0.191,4
24,215.9,117.93392,2,32,82,3.8,4,0.3,9.7,0.10300000000000001,0.152,0.11599999999999999,0.48700000000000004,0.022000000000000002,62
27,208.28,120.20188,Undrafted,Undrafted,4,1.3,1,0,-17.7,0,0.21100000000000002,0.10300000000000001,0.727,0,Undrafted
23,195.58,95.25432,2,35,2,3,1,1,-42.5,0.08,0,0.162,0.387,0.2,65
27,195.58,92.98635999999999,2,39,4,2.8,1.3,0.3,-40.8,0.024,0.10800000000000001,0.165,0.396,0.038,69
27,203.2,106.59411999999999,Undrafted,Undrafted,9,2.8,1.8,0,-6.1,0.097,0.095,0.151,0.38799999999999996,0,Undrafted
34,190.5,88.45044,1,18,79,14.7,2.4,4,6.1,0.017,0.065,0.19,0.586,0.185,18
35,200.66,108.86208,2,46,70,6.8,5.2,1.3,4.1,0.072,0.16399999999999998,0.145,0.475,0.077,76
35,213.36,122.923432,1,6,59,2.8,3.4,0.6,-7.6,0.081,0.191,0.11800000000000001,0.45,0.065,6
24,200.66,95.25432,Undrafted,Undrafted,2,1.5,1.5,0,-17.4,0.25,0.111,0.27899999999999997,0.3,0,Undrafted
32,210.82,117.93392,1,13,56,1.7,2,0.4,-3.5,0.072,0.191,0.097,0.488,0.055999999999999994,13
27,187.96,83.91452,Undrafted,Undrafted,48,4.8,1,2.1,-2.1,0.028999999999999998,0.059000000000000004,0.161,0.637,0.287,Undrafted
40,195.58,90.7184,2,29,32,4,1.3,0.7,-9.8,0.017,0.10099999999999999,0.182,0.499,0.10400000000000001,59
31,195.58,83.91452,Undrafted,Undrafted,77,13.8,2.7,2.8,6.5,0.021,0.094,0.24600000000000002,0.555,0.19899999999999998,Undrafted
35,185.42,79.3786,1,16,82,14.4,2.8,10.5,11.4,0.021,0.075,0.18600000000000003,0.6559999999999999,0.45,16
23,205.74,102.0582,1,18,68,4.8,2.3,0.5,2.7,0.08,0.14800000000000002,0.204,0.5710000000000001,0.081,18
33,200.66,90.7184,2,29,82,8.7,2.3,1.4,0.2,0.040999999999999995,0.072,0.175,0.545,0.092,59
27,195.58,92.98635999999999,1,21,58,4.9,1.7,2,5,0.031,0.087,0.152,0.535,0.193,21
21,208.28,102.0582,1,1,80,18.7,8.5,1.6,-3.3,0.10300000000000001,0.163,0.239,0.512,0.07,1
24,193.04,83.46092800000001,2,49,76,3,1.3,2,-3.7,0.031,0.088,0.154,0.449,0.264,79
18,210.82,102.511792,1,17,45,4.1,2.8,0.2,1.3,0.099,0.198,0.19899999999999998,0.494,0.03,17
22,193.04,86.18248,2,37,13,5,0.5,1.4,-17.8,0.021,0.04,0.259,0.609,0.327,67
23,210.82,129.27372,Undrafted,Undrafted,20,1.7,0.9,0.2,11.5,0.048,0.13699999999999998,0.19,0.539,0.055999999999999994,Undrafted
34,210.82,111.13004,2,45,68,8,8.3,1.5,4.3,0.099,0.19899999999999998,0.122,0.5379999999999999,0.067,75
24,187.96,80.28578399999998,2,30,82,4.5,1,2.4,2.5,0.024,0.067,0.192,0.53,0.29600000000000004,60
27,195.58,83.007336,1,20,36,5,1.1,0.9,-3.3,0.02,0.054000000000000006,0.154,0.466,0.088,20
27,208.28,122.46983999999999,2,48,82,9.7,5.8,1.2,2.9,0.09,0.218,0.22699999999999998,0.536,0.1,78
26,195.58,97.52228000000001,1,5,76,16.1,4,2.6,3.4,0.045,0.097,0.22899999999999998,0.557,0.129,5
26,208.28,111.13004,Undrafted,Undrafted,72,1.4,2.8,0.3,2.5,0.10400000000000001,0.18899999999999997,0.083,0.439,0.042,Undrafted
33,208.28,109.769264,4,79,20,2,1.6,0.3,5,0.16699999999999998,0.284,0.22399999999999998,0.441,0.088,286
24,203.2,95.25432,1,13,66,7.3,1.8,2.3,1.3,0.027999999999999997,0.095,0.214,0.541,0.23399999999999999,13
24,203.2,113.398,1,4,69,11.9,4.3,2.9,1.4,0.037000000000000005,0.121,0.207,0.48700000000000004,0.158,4
26,187.96,81.64656,1,21,69,8.3,1.6,1.8,-2.7,0.021,0.076,0.207,0.537,0.163,21
25,198.12,81.64656,Undrafted,Undrafted,8,0.1,0.8,0.4,-14.7,0.036000000000000004,0.147,0.158,0.055999999999999994,0.136,Undrafted
22,203.2,115.66596000000001,2,48,41,3.7,5.2,0.6,-12.2,0.133,0.253,0.15,0.405,0.065,78
25,200.66,86.18248,2,47,23,3.4,2,1.4,-7.8,0.069,0.098,0.149,0.493,0.159,77
29,198.12,95.25432,Undrafted,Undrafted,75,5,1.8,0.9,1.7,0.03,0.10400000000000001,0.16699999999999998,0.52,0.09,Undrafted
24,203.2,116.119552,1,20,75,7.3,4,1.2,9,0.114,0.134,0.184,0.574,0.094,20
24,193.04,94.34713599999999,1,2,55,10.9,4.5,9,2.4,0.039,0.106,0.17,0.498,0.37,2
23,200.66,102.0582,2,41,8,2.4,1,0.3,-24.2,0.018000000000000002,0.14,0.172,0.413,0.067,71
29,205.74,108.86208,1,21,41,13.4,13.5,1.2,-8.8,0.16699999999999998,0.248,0.209,0.44299999999999995,0.062,21
31,195.58,95.25432,1,13,25,3.6,1.5,1,0.7,0.077,0.067,0.154,0.496,0.124,13
34,193.04,86.18248,2,46,82,14.5,2.9,4.4,14.4,0.031,0.082,0.2,0.596,0.21,76
30,190.5,86.18248,1,6,82,13.9,3.9,3,10.3,0.04,0.098,0.17300000000000001,0.616,0.14300000000000002,6
25,198.12,86.18248,1,10,80,17.2,4.1,3.4,4.1,0.035,0.091,0.209,0.5589999999999999,0.149,10
38,200.66,97.52228000000001,2,29,52,8.2,2.7,1,4.1,0.034,0.126,0.22,0.541,0.102,59
34,205.74,108.86208,1,10,27,2.4,2.4,0.2,-11.2,0.109,0.179,0.127,0.611,0.04,10
27,200.66,99.79024,Undrafted,Undrafted,3,2,0.3,0.3,-29.8,0.1,0,0.233,0.5,0.125,Undrafted
27,200.66,97.975872,1,22,80,13.4,6.2,2.5,4.5,0.048,0.157,0.175,0.544,0.111,22
31,203.2,99.79024,1,4,73,4.3,2.2,0.6,-7.3,0.049,0.155,0.17800000000000002,0.486,0.075,4
33,200.66,97.52228000000001,1,7,79,14.5,4,4.1,-4.9,0.033,0.106,0.175,0.645,0.195,7
23,195.58,90.7184,2,51,41,4.6,1.7,1.6,-11.4,0.039,0.088,0.155,0.486,0.156,81
24,208.28,111.13004,1,1,72,20.1,10.3,4.6,3.4,0.10099999999999999,0.207,0.244,0.5539999999999999,0.193,1
25,182.88,77.11064,2,47,82,5.2,1.3,2.2,2,0.013999999999999999,0.093,0.183,0.5660000000000001,0.268,77
27,210.82,111.13004,1,3,82,18.1,8.8,2.7,11,0.084,0.18600000000000003,0.23600000000000002,0.562,0.133,3
29,203.2,97.52228000000001,2,43,70,2.9,2.1,0.4,-5.9,0.063,0.177,0.12300000000000001,0.552,0.057,73
29,208.28,104.32616,1,16,47,19,7.9,0.6,-4.1,0.11900000000000001,0.21600000000000003,0.312,0.58,0.046,16
26,200.66,108.86208,1,9,82,12.2,8.3,1.7,-8.3,0.079,0.172,0.155,0.537,0.078,9
24,210.82,104.32616,1,16,42,4.5,5.6,0.7,-6.3,0.151,0.223,0.14,0.47100000000000003,0.067,16
35,200.66,100.697424,1,14,62,18,6,5.7,7.5,0.062,0.122,0.231,0.5479999999999999,0.261,14
28,208.28,109.769264,1,25,58,4.2,4.8,0.6,2,0.13,0.182,0.11900000000000001,0.5589999999999999,0.055999999999999994,25
23,200.66,111.13004,1,13,79,11.6,4.1,1.6,-4.2,0.082,0.11199999999999999,0.23,0.535,0.10800000000000001,13
24,185.42,86.18248,1,29,80,7.2,1.5,3.2,-8.8,0.023,0.081,0.218,0.528,0.3,29
35,198.12,81.64656,3,48,62,3.5,1.8,1.1,5.7,0.055999999999999994,0.107,0.166,0.41200000000000003,0.13,168
25,195.58,96.615096,2,57,3,0,0.3,0.3,-12.1,0.048,0,0.214,0,0.1,87
28,210.82,104.32616,1,13,80,10.4,9.7,0.7,-0.2,0.138,0.215,0.159,0.532,0.04,13
36,200.66,97.52228000000001,1,9,82,16.6,3.6,2,-9.1,0.039,0.074,0.214,0.537,0.1,9
30,208.28,102.0582,2,36,81,15.1,4,3.2,4.4,0.036000000000000004,0.088,0.19899999999999998,0.519,0.13699999999999998,66
32,210.82,108.86208,4,75,81,3.9,7.3,0.5,-0.2,0.134,0.249,0.107,0.449,0.036000000000000004,282
29,190.5,88.45044,Undrafted,Undrafted,65,9.3,2.9,6.1,5.2,0.013000000000000001,0.094,0.16899999999999998,0.526,0.309,Undrafted
23,198.12,99.79024,2,56,55,6.1,2.1,0.9,3.8,0.043,0.11599999999999999,0.184,0.5579999999999999,0.099,86
23,203.2,99.79024,1,27,14,1.4,0.6,0.5,-12.5,0.017,0.121,0.168,0.455,0.19399999999999998,27
25,205.74,115.212368,1,8,24,10.5,5.9,1.2,-7.7,0.098,0.185,0.213,0.511,0.078,8
31,198.12,90.7184,1,24,77,7.2,2.5,4.1,-10.5,0.028999999999999998,0.095,0.184,0.478,0.297,24
26,193.04,87.543256,1,27,67,6.6,1.4,2.7,-6.2,0.019,0.087,0.214,0.526,0.27699999999999997,27
26,200.66,90.7184,Undrafted,Undrafted,1,0,0,0,300,0,0,0,0,0,Undrafted
24,213.36,124.7378,1,6,75,16.2,8.1,2.1,-10.6,0.072,0.185,0.223,0.523,0.106,6
26,195.58,94.34713599999999,1,13,52,14.9,4.2,2.6,-5.6,0.048,0.09,0.201,0.5479999999999999,0.125,13
26,200.66,102.0582,2,45,81,10.8,4.1,1.5,13.5,0.040999999999999995,0.11800000000000001,0.15,0.6,0.07,75
37,203.2,102.0582,1,3,74,6.3,5.4,0.7,6.9,0.135,0.184,0.149,0.574,0.059000000000000004,3
36,193.04,92.98635999999999,1,4,79,6.7,1.5,1.3,6.7,0.017,0.075,0.157,0.59,0.11,4
25,200.66,97.52228000000001,1,6,79,10.6,3.4,1.4,2,0.036000000000000004,0.095,0.165,0.53,0.07,6
30,205.74,102.0582,2,30,75,8,4.5,0.7,-9.7,0.076,0.151,0.19,0.46299999999999997,0.047,60
27,193.04,79.3786,Undrafted,Undrafted,19,1.1,0.7,0.4,-8.9,0.043,0.152,0.16699999999999998,0.43,0.19,Undrafted
26,210.82,99.79024,1,11,56,9.8,5.4,0.7,-5.7,0.098,0.154,0.168,0.575,0.046,11
27,200.66,102.0582,2,48,50,14.6,6.6,1.3,4.1,0.088,0.18100000000000002,0.24600000000000002,0.522,0.073,78
34,198.12,114.30518400000001,1,5,53,19.2,13.5,4.7,7.5,0.127,0.28,0.23,0.581,0.20800000000000002,5
40,205.74,97.52228000000001,8,165,12,0.3,1.1,0.3,2.6,0.068,0.10300000000000001,0.025,0.4,0.046,1285
33,205.74,111.13004,1,9,80,10.8,9.8,2.8,3.4,0.107,0.218,0.155,0.545,0.127,9
31,208.28,110.676448,1,3,19,4.6,3.4,0.7,-4.9,0.057999999999999996,0.179,0.165,0.461,0.072,3
26,187.96,86.18248,1,26,79,5.2,2.8,4.1,4,0.031,0.11599999999999999,0.14,0.522,0.282,26
24,210.82,108.86208,1,12,76,3.3,2.6,0.4,-0.6,0.098,0.135,0.12300000000000001,0.535,0.055,12
23,177.8,77.56423199999999,1,7,81,20.2,4.1,8.8,-3.7,0.028999999999999998,0.09,0.253,0.516,0.38,7
31,198.12,99.79024,1,14,36,10.8,4.5,3.2,4.7,0.043,0.111,0.157,0.523,0.158,14
