Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Rings
I,0.6,0.4,0.2,1.4,0.5,0.3,0.4,12
F,0.6,0.4,0.2,1.0,0.3,0.2,0.3,17
F,0.4,0.3,0.1,0.5,0.2,0.1,0.1,7
M,0.5,0.4,0.2,1.1,0.5,0.2,0.3,10
M,0.4,0.3,0.1,0.5,0.4,0.1,0.1,6
I,0.5,0.4,0.1,0.7,0.2,0.1,0.3,8
I,0.3,0.3,0.1,0.4,0.2,0.1,0.1,8
M,0.5,0.4,0.2,1.1,0.5,0.3,0.3,7
M,0.4,0.3,0.1,0.4,0.1,0.1,0.3,8
F,0.7,0.5,0.2,1.3,0.6,0.3,0.3,9
F,0.5,0.4,0.1,1.2,0.5,0.3,0.3,9
F,0.5,0.4,0.1,0.6,0.2,0.1,0.2,10
F,0.5,0.4,0.2,1.1,0.4,0.2,0.4,15
F,0.6,0.5,0.1,1.1,0.5,0.2,0.3,7
F,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7
M,0.2,0.1,0.0,0.1,0.1,0.0,0.0,7
F,0.5,0.4,0.2,1.1,0.5,0.2,0.3,9
F,0.2,0.2,0.1,0.2,0.1,0.1,0.0,9
M,0.4,0.3,0.1,0.5,0.2,0.1,0.2,6
F,0.3,0.2,0.0,0.1,0.1,0.0,0.0,5
M,0.4,0.3,0.1,0.5,0.2,0.1,0.2,12
M,0.5,0.4,0.1,1.1,0.6,0.2,0.3,8
F,0.6,0.4,0.2,1.2,0.5,0.3,0.3,9
F,0.3,0.3,0.1,0.5,0.2,0.1,0.1,8
F,0.4,0.3,0.2,0.8,0.4,0.2,0.3,5
M,0.3,0.3,0.1,0.4,0.2,0.1,0.1,4
M,0.5,0.4,0.1,0.8,0.3,0.2,0.3,8
F,0.5,0.4,0.2,1.3,0.6,0.3,0.4,6
M,0.6,0.5,0.2,1.7,0.6,0.4,0.5,16
I,0.6,0.5,0.2,2.1,1.0,0.5,0.6,14
F,0.7,0.5,0.2,2.2,1.2,0.5,0.6,11
M,0.6,0.5,0.2,1.8,0.9,0.4,0.4,9
F,0.4,0.3,0.1,0.6,0.3,0.1,0.2,7
F,0.6,0.5,0.2,1.6,0.7,0.4,0.5,14
M,0.6,0.5,0.2,1.7,0.8,0.3,0.5,12
F,0.5,0.4,0.1,0.8,0.5,0.2,0.2,6
I,0.2,0.2,0.1,0.1,0.0,0.0,0.0,6
M,0.7,0.6,0.5,2.5,1.2,0.5,0.6,18
F,0.4,0.3,0.1,0.3,0.2,0.1,0.1,5
M,0.3,0.2,0.1,0.4,0.1,0.1,0.2,8
F,0.3,0.2,0.1,0.2,0.1,0.1,0.0,5
M,0.6,0.5,0.2,1.3,0.5,0.3,0.4,13
M,0.5,0.4,0.2,0.8,0.3,0.2,0.3,10
F,0.3,0.2,0.1,0.2,0.1,0.0,0.1,9
M,0.4,0.3,0.1,0.3,0.2,0.1,0.1,5
M,0.5,0.4,0.2,0.6,0.3,0.1,0.1,7
M,0.4,0.3,0.2,0.5,0.1,0.1,0.2,12
M,0.3,0.2,0.1,0.1,0.0,0.0,0.0,5
F,0.2,0.1,0.0,0.0,0.0,0.0,0.0,5
I,0.6,0.5,0.2,1.3,0.5,0.3,0.4,10
F,0.4,0.3,0.1,0.6,0.3,0.1,0.1,1
I,0.5,0.3,0.1,0.8,0.4,0.2,0.3,6
F,0.3,0.3,0.1,0.7,0.3,0.1,0.2,7
I,0.3,0.3,0.1,0.2,0.1,0.1,0.1,8
F,0.5,0.4,0.1,0.7,0.4,0.2,0.2,10
F,0.5,0.4,0.2,0.9,0.4,0.1,0.3,12
F,0.3,0.2,0.1,0.2,0.1,0.1,0.1,6
I,0.6,0.5,0.2,1.6,0.7,0.4,0.4,7
I,0.5,0.3,0.1,0.6,0.2,0.2,0.2,9
I,0.5,0.4,0.2,1.1,0.5,0.2,0.3,11
I,0.6,0.5,0.2,1.5,0.6,0.3,0.5,18
M,0.2,0.2,0.1,0.1,0.0,0.0,0.0,6
I,0.5,0.4,0.2,1.1,0.5,0.3,0.3,5
M,0.6,0.4,0.2,1.2,0.5,0.2,0.4,22
M,0.5,0.4,0.2,0.8,0.3,0.2,0.2,8
F,0.5,0.4,0.2,1.2,0.5,0.2,0.4,8
M,0.5,0.4,0.2,0.8,0.4,0.2,0.2,7
M,0.5,0.4,0.1,1.0,0.4,0.2,0.3,10
I,0.3,0.2,0.1,0.3,0.2,0.1,0.0,5
M,0.4,0.3,0.1,0.5,0.2,0.1,0.1,6
I,0.5,0.4,0.1,1.1,0.5,0.3,0.2,5
M,0.6,0.5,0.2,2.2,0.9,0.5,0.6,22
M,0.4,0.3,0.1,0.4,0.2,0.1,0.1,7
M,0.6,0.5,0.2,1.2,0.5,0.3,0.3,11
I,0.5,0.4,0.2,1.1,0.5,0.3,0.3,8
M,0.4,0.3,0.1,0.4,0.2,0.1,0.1,8
F,0.6,0.5,0.2,1.0,0.4,0.2,0.4,12
M,0.6,0.5,0.2,1.8,0.7,0.4,0.5,13
I,0.2,0.2,0.1,0.2,0.1,0.0,0.1,5
I,0.4,0.3,0.1,0.6,0.3,0.1,0.1,6
I,0.6,0.5,0.2,2.1,0.9,0.4,0.6,14
M,0.5,0.4,0.1,0.7,0.3,0.2,0.2,8
I,0.5,0.4,0.1,1.1,0.6,0.3,0.2,7
F,0.7,0.6,0.5,2.5,1.3,0.5,0.9,10
F,0.4,0.3,0.1,0.4,0.1,0.1,0.2,6
M,0.2,0.2,0.1,0.2,0.1,0.0,0.1,7
M,0.3,0.2,0.1,0.3,0.1,0.0,0.2,19
M,0.6,0.5,0.1,1.0,0.3,0.2,0.4,13
I,0.4,0.3,0.1,0.6,0.2,0.2,0.2,10
I,0.4,0.3,0.1,0.4,0.2,0.2,0.1,5
I,0.6,0.5,0.2,1.2,0.4,0.3,0.4,12
M,0.3,0.2,0.1,0.2,0.1,0.0,0.1,8
M,0.4,0.3,0.1,0.7,0.3,0.1,0.2,5
M,0.3,0.2,0.1,0.2,0.1,0.0,0.1,9
M,0.5,0.4,0.1,0.8,0.3,0.2,0.2,9
F,0.4,0.3,0.1,0.2,0.2,0.0,0.1,5
F,0.5,0.4,0.1,0.5,0.3,0.1,0.2,7
F,0.6,0.5,0.2,1.2,0.5,0.3,0.3,9
M,0.6,0.4,0.1,1.2,0.5,0.2,0.3,9
M,0.6,0.4,0.2,1.5,0.6,0.3,0.4,16
I,0.4,0.3,0.1,0.9,0.4,0.2,0.3,5
F,0.2,0.2,0.1,0.3,0.2,0.1,0.1,10
I,0.5,0.3,0.1,0.4,0.3,0.1,0.1,4
I,0.3,0.2,0.1,0.2,0.1,0.0,0.1,9
I,0.5,0.4,0.2,0.9,0.4,0.2,0.2,8
M,0.6,0.4,0.2,1.3,0.6,0.3,0.3,9
I,0.5,0.4,0.2,1.1,0.5,0.2,0.3,8
F,0.6,0.4,0.2,1.1,0.5,0.3,0.3,8
M,0.3,0.3,0.1,0.6,0.2,0.1,0.2,11
I,0.5,0.4,0.2,0.9,0.4,0.2,0.2,7
M,0.5,0.3,0.1,0.9,0.3,0.2,0.3,10
M,0.5,0.4,0.2,1.2,0.6,0.3,0.3,13
F,0.5,0.4,0.1,1.0,0.5,0.2,0.3,5
M,0.5,0.4,0.2,0.9,0.4,0.2,0.2,7
F,0.5,0.4,0.1,0.8,0.3,0.2,0.2,8
I,0.7,0.5,0.2,1.8,0.8,0.4,0.6,15
M,0.5,0.4,0.1,0.7,0.3,0.2,0.2,8
M,0.6,0.5,0.2,1.9,1.0,0.4,0.4,8
M,0.2,0.1,0.1,0.1,0.0,0.0,0.0,5
M,0.3,0.2,0.1,0.1,0.0,0.0,0.1,8
M,0.4,0.3,0.1,0.5,0.2,0.1,0.2,8
I,0.5,0.4,0.2,1.1,0.4,0.2,0.3,9
F,0.1,0.1,0.1,0.1,0.1,0.0,0.0,2
F,0.5,0.4,0.1,0.8,0.3,0.2,0.2,11
M,0.4,0.4,0.1,0.8,0.3,0.2,0.2,9
M,0.3,0.2,0.1,0.3,0.1,0.1,0.1,7
M,0.4,0.3,0.1,0.5,0.2,0.1,0.2,7
I,0.3,0.2,0.1,0.2,0.2,0.0,0.1,6
F,0.3,0.3,0.1,0.4,0.2,0.1,0.1,6
M,0.5,0.4,0.2,1.1,0.4,0.2,0.3,8
F,0.4,0.3,0.1,0.4,0.2,0.1,0.1,11
I,0.7,0.5,0.2,2.1,0.9,0.4,0.5,12
F,0.4,0.3,0.1,0.5,0.2,0.1,0.2,7
F,0.4,0.3,0.1,0.5,0.1,0.1,0.2,7
M,0.3,0.2,0.1,0.4,0.1,0.1,0.1,5
I,0.5,0.4,0.2,1.1,0.5,0.2,0.3,8
M,0.6,0.5,0.2,1.4,0.6,0.3,0.3,17
I,0.5,0.4,0.1,0.8,0.4,0.2,0.1,5
I,0.6,0.5,0.2,1.5,0.6,0.4,0.4,10
M,0.2,0.2,0.1,0.1,0.0,0.0,0.0,7
I,0.5,0.4,0.2,1.0,0.5,0.3,0.2,10
I,0.5,0.4,0.2,1.3,0.5,0.3,0.4,7
M,0.4,0.3,0.1,0.5,0.2,0.1,0.1,4
M,0.5,0.4,0.2,1.0,0.4,0.2,0.3,15
M,0.2,0.2,0.1,0.3,0.1,0.1,0.1,4
I,0.3,0.2,0.1,0.2,0.2,0.0,0.1,10
M,0.5,0.4,0.2,1.3,0.6,0.3,0.3,9
I,0.5,0.4,0.1,1.1,0.5,0.2,0.3,8
M,0.5,0.4,0.1,0.9,0.4,0.3,0.2,9
