MajorAxisLength,MinorAxisLength,Area,Perimeter,AspectRatio,Eccentricity,EquivDiameter,Roundness,Compactness
208.1781167,173.888747,28395,610.291,1.197191424,0.549812187,190.1410973,0.958027126,0.913357755
200.5247957,182.7344194,28734,638.018,1.097356461,0.411785251,191.2727505,0.887033637,0.953860842
212.8261299,175.9311426,29380,624.11,1.209712656,0.562727317,193.4109041,0.947849473,0.908774239
210.557999,182.5165157,30008,645.884,1.153638059,0.498615976,195.4670618,0.903936374,0.928328835
201.8478822,190.2792788,30140,620.134,1.06079802,0.333679658,195.896503,0.984877069,0.970515523
212.5605564,181.5101816,30279,634.927,1.171066849,0.52040066,196.3477022,0.943851783,0.923725952
211.0501553,184.0390501,30477,670.033,1.146768336,0.489477894,196.9886332,0.853079869,0.933373552
212.9967551,182.7372038,30519,629.727,1.165590535,0.513759558,197.1243203,0.967109244,0.925480392
213.5341452,183.1571463,30685,635.681,1.165852108,0.51408086,197.659696,0.954239808,0.925658498
217.2278128,180.8974686,30834,631.934,1.2008339,0.553642225,198.1390121,0.97027823,0.91212543
213.5600894,184.4398709,30917,640.765,1.157884618,0.504102365,198.4055115,0.94625818,0.929038343
210.4862549,188.3268476,31091,638.558,1.117664622,0.446621924,198.9630385,0.958172836,0.945254305
214.6485485,184.9692526,31107,640.594,1.160455295,0.507365875,199.0142269,0.952581757,0.927163162
216.4848362,183.6443122,31158,642.626,1.178826797,0.529514251,199.1773023,0.948119004,0.92005198
212.0669751,187.1929601,31158,641.105,1.132879009,0.469924157,199.1773023,0.952623101,0.939218858
212.9759252,186.5620882,31178,636.888,1.141582018,0.482352224,199.2412169,0.965899596,0.935510513
215.6406947,184.4716842,31202,644.454,1.168963657,0.517871223,199.3178875,0.944079243,0.924305534
215.067737,184.8748759,31203,639.782,1.163315112,0.510946829,199.3210815,0.957948542,0.926782809
212.4503189,187.535939,31272,638.666,1.132851229,0.469883494,199.5413417,0.963425036,0.939237666
216.7900923,184.1634403,31335,635.011,1.177161395,0.52758671,199.7422367,0.976510834,0.921362386
219.865394,182.0088637,31374,636.401,1.207992784,0.56099452,199.8664991,0.973459862,0.909040279
213.7856543,188.0664823,31530,638.857,1.136755746,0.475535642,200.3627781,0.970792739,0.937213391
217.3070261,185.4482507,31573,674.103,1.171793345,0.52126839,200.499357,0.873118507,0.922654737
229.7192546,175.510446,31637,656.711,1.308863717,0.645190802,200.702465,0.921842182,0.873685862
236.7526321,171.2105592,31675,657.431,1.3828156,0.690678219,200.8229633,0.92092896,0.848239622
210.0456816,192.2484159,31682,646.721,1.092574316,0.402841974,200.8451524,0.951893863,0.956197485
215.7089067,187.2724497,31703,656.305,1.151845384,0.496263281,200.9117052,0.92490856,0.931401991
219.7765183,184.1151053,31748,641.826,1.193690859,0.546072628,201.0542441,0.968482156,0.914812218
220.9594949,183.2920681,31768,650.954,1.205504947,0.558465259,201.1175623,0.94210463,0.910201041
223.9846829,180.9171228,31811,642.092,1.238051321,0.589564969,201.2536289,0.969600136,0.898515141
213.7356452,189.9692019,31821,649.681,1.125106823,0.458286561,201.2852592,0.947378132,0.941748668
222.8726889,181.8946963,31823,662.532,1.225284154,0.57785815,201.2915846,0.91103962,0.903168466
224.9125542,180.4394219,31837,656.404,1.246471264,0.596968354,201.3358572,0.928537748,0.89517394
216.3203615,188.0653069,31915,640.718,1.150240653,0.494138341,201.5823407,0.976946683,0.93186947
213.6874805,190.6449473,31972,639.974,1.120866215,0.451705439,201.7622728,0.980968377,0.944193232
