mean_temp,min_temp,max_temp,min_grass_temp,mean_wet_bulb_temp,mean_dew_point_temp,pressure,rel_humidity,cloud,rainfall
17.7,15.5,20.7,12.4,15.2,13.4,1018.7,77,32,0
19.5,17.2,22.9,12.8,16.4,14.1,1018.6,72,44,0
18.8,17.5,21.2,14.7,15.7,13.3,1019.2,71,35,0
17.9,16.1,20.7,13.8,15.2,13.1,1020.6,74,20,0
14.7,11.8,18.2,13.1,11.1,7.4,1026,62,66,0
13.8,10.4,16.9,9.5,10.3,6.7,1025.6,63,63,0
14.4,11.8,18,9.3,10.9,7.3,1022.9,62,65,0
15.7,13.7,18.8,12.6,12.4,9.3,1021.2,66,83,0
15.7,14.6,16.7,14.9,13.5,11.5,1021.1,76,87,0
13.8,11.6,16,10,10.3,6.4,1023.1,61,69,0
13.8,11,17.5,6.9,10.3,6.6,1022.5,62,44,0
15.9,13.1,19.7,8.4,13.6,11.7,1020.8,76,53,0
17.7,15.8,21.5,13.3,14.8,12.4,1020.7,72,87,0
15.2,13.7,16.5,14,14,13,1019.2,87,91,7.1
11.1,8.2,14,6,8,4.1,1025,63,30,0
11.3,8.2,15.1,6.3,8.1,4.1,1027,62,45,0
12.4,9.8,15.4,6.1,9.6,6.5,1025.9,68,48,0
11.6,8.9,13.5,8.9,9.3,6.8,1025.5,73,91,0.7
10.8,7.6,15.3,7,7.7,3.7,1025.2,63,54,0.2
11.7,8.2,15.2,7.8,8.5,4.5,1023,61,29,0
13.5,10.6,17.5,6.5,10.4,7.1,1020.8,66,30,0
15.5,12.8,19.2,10.3,12.6,9.9,1018,70,67,0
17.7,14.6,21.9,11.3,14.8,12.5,1016.6,72,49,0
15.3,14.3,16.9,13.1,12.7,10.4,1018.5,73,89,0
14.6,13.2,16.5,12.8,13,11.7,1018.6,83,91,0
15.2,14.3,17.1,13.3,13.9,12.8,1015.8,86,97,0
15.8,14.6,18.1,14.3,15.1,14.5,1011.9,92,95,0.1
16.2,15.4,17.2,15.7,15.6,15.2,1012.2,94,100,0.2
14.9,13.1,15.7,14.2,14.1,13.4,1013.9,91,93,20.4
14.8,12,18.7,8.6,9.8,3.8,1019.5,49,16,0
13.5,10.2,17.3,6.6,7.8,-0.3,1021.5,40,1,0
14,11.6,16.9,5.9,10.5,6.8,1020.8,62,24,0
16.3,13.8,19.4,10.4,12.9,9.8,1020,67,46,0
18.1,15.5,22,11.9,14.5,11.5,1019.6,66,58,0
