mean_temp,min_temp,max_temp,dewpoint_temp,pressure,humidity,cloud,rainfall,low_visibility_hour,sunshine,radiation,evaporation,wind_direction,wind_speed
16.2,15,18.1,11.4,1018.1,73,84,0,17,2.7,9.86,2,60,37.6
17.4,16.1,20,15.4,1016.1,88,88,5.2,3,0.5,6.74,1.4,20,21.4
17,15.8,18.3,14.7,1017.1,87,85,3.5,0,1.4,7.6,1.3,50,21.8
17.9,15.9,19.9,14.6,1015.1,81,68,0,2,7.3,13.73,2.4,40,21.9
17.3,15.9,18.5,14.5,1015.6,84,85,0.8,10,0.1,3.48,0.9,60,42.2
15.8,14.4,16.8,14.1,1018.6,90,88,1.2,8,0,2.53,0.8,40,31.8
13.7,12.6,14.7,11.1,1021.3,84,88,0.5,3,0,2.2,0.7,20,25.5
13.7,11.6,15.5,10.3,1020.6,80,88,0.9,5,0,7.13,1.6,10,19.2
15.1,13.6,17.1,11.3,1018.9,78,76,0,6,3.2,9.53,2.4,50,30.8
17.4,15.7,19.1,13.9,1017.3,80,86,0,6,3.1,10.73,1.2,40,30.1
15,12,18.2,13.2,1018.3,89,80,12.5,0,0,2.21,1.6,360,26.7
12.1,9.9,15.2,5.3,1023,63,21,0,10,9.6,16.13,3.4,360,36.8
12.9,9.8,15.9,3.4,1026.8,53,45,0,18,9.5,16.71,3,10,22.8
14.5,12.8,16.1,8,1026.6,66,57,0,0,8.7,16.46,3,60,32.6
15.8,13.8,18.4,9.8,1025,68,36,0,0,9,16.32,2.9,40,31.2
16.7,15,19.7,10.1,1025.8,66,47,0,8,8.4,15.01,2.3,40,25.8
16.5,14.6,19.8,12.5,1025.9,77,38,0,18,7.7,15.12,2.7,40,27.8
16.9,14.8,19.7,12.8,1023.8,78,50,0,4,9.8,16.93,2.9,60,29.5
18.1,15.9,20.2,14.6,1021,80,85,0,0,5,11.83,2,30,28
21.3,19.6,22.7,18.3,1019.7,83,88,0,2,0.1,5.47,0.6,30,30.5
22.3,21.3,24,20,1018.5,87,81,0,0,1.6,5.82,2.1,60,27.4
18.3,16.5,21.6,15.9,1021.5,86,85,0,2,1.7,6.35,1.7,60,39.9
15.5,14.9,16.6,13.1,1022.7,86,88,0,11,0,2.8,0.9,30,26.6
15.7,14.5,17.1,13.1,1021.1,85,88,0,24,0,3.2,0.9,30,23.3
18.4,16.1,21.7,14.4,1021.1,78,87,0,8,1.1,7.06,2.6,360,20.7
16.1,15.4,17.8,12.6,1023.4,79,88,0,6,0.1,4.44,1.4,60,30.8
16.9,15.5,18.9,14.1,1019.6,84,87,0,20,2,7.75,1.2,50,27.7
19.4,17.4,22.4,17.9,1017.4,91,83,0,10,1,7.82,1.2,20,10.3
18.4,17.4,19.5,16.5,1019.4,89,84,0,10,0.2,5.26,1.8,40,26.1
18.6,17.1,20.6,15.9,1018.2,84,78,0,23,5.2,12.75,3,30,24.5
21.4,19.2,24.5,18.4,1016.5,83,46,0,5,9.7,17.83,2.3,30,7.9
21.6,19.7,23.8,18.6,1015.1,84,76,0,9,9.7,16.01,3.1,210,8.8
19,18.2,20.8,17.2,1015.5,89,86,0,5,0,3.61,1.3,30,21.9
18.2,17,19.5,16.4,1016.8,89,88,0,13,0,5.4,0.5,40,29.7
17.2,16.3,18.1,15.8,1017.7,91,89,0.4,2,0,5.77,1.5,30,33.4
17.4,16.8,17.9,15.6,1017.6,89,90,0,11,0,4.55,0.8,40,34.3
17.5,16.9,18,15.9,1017.4,90,92,0,3,0,4.42,1.4,40,29.4
